comment,db_key,is_disabled,parent_rule_ref,rank,tag,access_rule.match_part.match_sources.match_source_ref.type,access_rule.match_part.match_sources.match_source_ref.value,access_rule.match_part.match_destinations.match_destination_ref.type,access_rule.match_part.match_destinations.match_destination_ref.value,access_rule.match_part.match_services.match_service_ref.type,access_rule.match_part.match_services.match_service_ref.value,access_rule.action.type,access_rule.option.log_policy.closing_mode,access_rule.option.log_policy.log_level,access_rule.option.log_policy.mss_enforce,access_rule.match_part.match_services.match_service_ref.ref_key,access_rule.option.log_policy.log_compression,comment_rule.background_color,access_rule.match_part.user_match.user.class_id,access_rule.match_part.user_match.user.display_name,access_rule.match_part.user_match.user.domain,access_rule.match_part.user_match.user.ref,access_rule.match_part.user_match.auth_service.ref,access_rule.match_part.user_match.auth_service.ref_key,access_rule.vpn_action.meta_mobile_vpn,access_rule.vpn_action.type,access_rule.vpn_action.vpn_ref.ref,name,access_rule.match_part.match_sources.match_source_ref.ref_key,access_rule.option.decrypting,access_rule.option.deep_inspection,access_rule.option.log_policy.application,access_rule.option.conn_tracking,nat_rule.valid_fw_ref,nat_rule.match_part.match_sources.match_source_ref.type,nat_rule.match_part.match_sources.match_source_ref.value,nat_rule.match_part.match_destinations.match_destination_ref.type,nat_rule.match_part.match_destinations.match_destination_ref.value,nat_rule.match_part.match_services.match_service_ref.ref_key,nat_rule.match_part.match_services.match_service_ref.type,nat_rule.match_part.match_services.match_service_ref.value,nat_rule.action.type,nat_rule.option.log_policy.closing_mode,nat_rule.option.log_policy.log_level,nat_rule.option.log_policy.mss_enforce,nat_rule.option.nat_src.dynamic_nat.generate_arp,nat_rule.option.nat_src.dynamic_nat.packet_description.first_port,nat_rule.option.nat_src.dynamic_nat.packet_description.last_port,nat_rule.option.nat_src.dynamic_nat.packet_description.ne_ref
,11310,false,Access rule : insert point,455.0,2098662.11,network_element | network_element,10.53.106.241 | 10.53.222.0/24,network_element | network_element,10.53.106.241 | 10.53.222.0/24,service,8086,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11306,false,Access rule : insert point,456.0,2098658.11,network_element,network-10.53.150.0/24,network_element,10.53.101.252,service | service | service | service,445 | NetBIOS Datagram | NetBIOS-NS (UDP) | NetBIOS-SSN,allow,true,undefined,false,420 | 422 | 356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11307,true,Access rule : insert point,457.0,2098659.12,network_element | network_element,Alexandria_R&D_Team_126    | Cairo_R&D_Team_126,network_element,network-10.53.150.0/24,service | service | service | service,HTTP | HTTPS | SSH | tcp_service_22,allow,true,undefined,false,330 | 332 | 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11308,true,Access rule : insert point,458.0,2098660.12,network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.53.126.124 | 10.53.126.125 | 10.53.126.126 | 10.53.126.127 | 10.54.126.20 | 10.54.126.24 | 10.54.126.30,network_element,network-10.53.150.0/24,service | service | service | service | service,5900 | 9090 | Remote Desktop | SSH | tcp_service_22,allow,true,undefined,false,281 | 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11288,true,Access rule : insert point,459.0,2098640.12,network_element,10.53.105.21,network_element,10.53.106.238,service | service,HTTP | HTTPS,allow,true,undefined,false,330 | 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11290,true,Access rule : insert point,460.0,2098642.12,network_element | network_element,AI_Wireless | Cairo_R&D_Team_126,network_element,102.128.176.211,service,4041,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11297,false,Access rule : insert point,461.0,2098649.11,network_element | network_element,Alexandria_R&D_Team_126    | Cairo_R&D_Team_126-,network_element | network_element | network_element | network_element | network_element,10.53.107.243 | 10.53.107.250 | 10.53.107.251 | 10.53.107.252 | 10.53.107.253,service | service,3000-10000 | 30000-32768,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11293,false,Access rule : insert point,462.0,2098645.11,network_element,network-10.53.222.0/24,network_element,10.53.106.241,service | service,9001-9010 | 9090,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11278,false,Access rule : insert point,463.0,2098629.12,network_element,network-10.53.127.0/24,network_element,host-10.53.101.248,service | service | service | service,tcp_service_111 | tcp_service_2049 | udp_service_111 | udp_service_2049,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11354,false,Access rule : insert point,464.0,2098705.12,network_element | network_element | network_element,10.53.120.0/24 | 10.53.130.0/24 | network-10.53.128.0/24,network_element,host-10.53.101.248,service | service | service | service,tcp_service_111 | tcp_service_2049 | udp_service_111 | udp_service_2049,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11281,false,Access rule : insert point,465.0,2098632.11,network_element,10.53.222.0/24,network_element,network-10.53.127.0/24,service | service,8001-8009 | 8001-8009udp,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11282,false,Access rule : insert point,466.0,2098633.12,network_element,network-10.53.127.0/24,network_element,10.53.222.0/24,service | service | service | service | service | service,8001-8009 | 8001-8009udp | tcp_service_111 | tcp_service_2049 | udp_service_111 | udp_service_2049,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11265,false,Access rule : insert point,467.0,2098615.13,network_element,10.53.106.241,network_element,10.53.222.3,service | service,8081 | MySQL,allow,true,undefined,false,10034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11268,true,Access rule : insert point,468.0,2098618.12,network_element | network_element,Alexandria_R&D_Team_126    | Cairo_R&D_Team_126,network_element | network_element | network_element | network_element | network_element,10.53.107.243 | 10.53.107.250 | 10.53.107.251 | 10.53.107.252 | host-10.53.107.253,service,3000-10000,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11271,false,Access rule : insert point,469.0,2098621.13,network_element | network_element | network_element | network_element,AD1 | AD2 | dns1 | dns2,network_element | network_element,10.53.222.3 | AIC_Cluster1_server,service | service | service | service,123 | tcp_service_123 | tcp_service_53 | udp_service_53,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11191,false,Access rule : insert point,470.0,2098513.17,network_element | network_element | network_element | network_element | network_element | network_element,Cairo_ IT_Test _115 | network-10.53.105.0/24 | network-10.53.107.0/24 | network-10.53.123.0/24 | network-10.53.135.0/24 | network-10.53.145.0/24,network_element,10.53.101.252,service | service | service | service,NetBIOS Datagram | NetBIOS-NS (UDP) | NetBIOS-SSN | SMB-TCP,allow,true,undefined,false,420 | 422 | 356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11270,false,Access rule : insert point,471.0,2098620.11,network_element,network-10.53.127.0/24,network_element,10.53.222.0/24,service | service | service | service | service | service,8001-8009 | 8001-8009udp | tcp_service_111 | tcp_service_2049 | udp_service_111 | udp_service_2049,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11257,false,Access rule : insert point,472.0,2098561.15,network_element,10.53.130.0/24,network_element | network_element,10.53.106.236 | 10.53.106.245,service | service | service | service | service | service | service | service | service,8080 | 8081 | HTTP | HTTPS | ICMP | RDP | Remote Desktop | SSH | tcp_service_8080,allow,true,undefined,false,330 | 332 | 121 | 172 | 281 | 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
