type,value,ref_key
network_element,dns2,
network_element,AD1,
network_element,AD2,
network_element,dns1,
network_element,dns2,
network_element,network-10.53.107.0/24,
network_element,host-10.53.102.22,
network_element,host-10.53.127.11,
network_element,10.54.135.0/24,
network_element,10.54.200.0/24,
network_element,AI-lab,
network_element,AIC-DEV-RANGE,
network_element,AIC-HPC-RANGE,
network_element,AIC-IT-RANGE,
network_element,Alex-BMC,
network_element,Alex-Kubernetes,
network_element,Alex_VM_Internal,
network_element,Cairo_R&D_Team_126-,
network_element,Hypervisors_102,
network_element,network-10.53.106.0/24,
network_element,network-10.53.127.0/24,
network_element,network-10.53.128.0/24,
network_element,network-10.53.150.0/24,
network_element,network-10.53.222.0/24,
network_element,users,
network_element,dns1,
network_element,dns2,
network_element,AD1,
network_element,AD2,
network_element,10.53.106.240,
network_element,SW Debug VM,
network_element,network-10.53.123.0/24,
network_element,dns1,
network_element,dns2,
network_element,Cairo_EPM_Prd_DB_Server,
network_element,Cairo_EPM_Prd_Web_Server,
network_element,Cairo_EPM_Stg_DB_Server,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,HR services_H,
network_element,10.53.120.0/24,
network_element,10.53.130.0/24,
network_element,10.53.222.0/24,
network_element,10.54.135.0/24,
network_element,10.54.200.0/24,
network_element,AI_Wireless,
network_element,alex-wireless,
network_element,Cairo_R&D_Team_126,
network_element,Git_Server,
network_element,host-10.53.106.250,
network_element,host-10.53.230.11,
network_element,hpc cluster 2 login node,
network_element,hpc cluster 4 login node,
network_element,network-10.53.125.0/24,
network_element,users,
network_element,host-10.53.102.53,
network_element,vCenter Virtualization Manager,
network_element,VMware Hypervisor 1,
network_element,VMware Hypervisor 2,
network_element,VMware Hypervisor 3,
network_element,VMware Hypervisor 4,
network_element,10.53.106.244,
network_element,10.53.106.247,
network_element,10.53.106.248,
network_element,Docker Registry Server,
network_element,IT Assets Inventory,
network_element,dns1,
network_element,dns2,
network_element,network-10.53.105.0/24,
network_element,network-10.53.106.0/24,
network_element,network-10.53.107.0/24,
network_element,network-10.53.104.0/24,
network_element,network-10.53.101.0/24,
network_element,network-10.53.102.0/24,
network_element,AI_Wireless,
network_element,Cairo_R&D_Team_126,
network_element,Alexandria_R&D_Team_126   ,
network_element,Alexandria_R&D_Team_126   ,
network_element,10.53.106.250,
network_element,10.53.106.250,
network_element,10.54.230.5,
network_element,Explatory VM,
network_element,Alexandria_IT_Admin_125,
network_element,network-10.53.125.0/24,
network_element,Dell Storage management,
network_element,vCenter Virtualization Manager,
network_element,VMware Hypervisor 1,
network_element,VMware Hypervisor 2,
network_element,VMware Hypervisor 3,
network_element,VMware Hypervisor 4,
network_element,10.53.106.242,
network_element,10.58.120.0/24,
network_element,10.58.126.0/24,
network_element,10.58.127.0/24,
network_element,10.58.128.0,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,10.58.200.0,
network_element,network-10.53.101.0/24,
network_element,Cairo_EPM_Prd_DB_Server,
network_element,Cairo_EPM_Prd_Web_Server,
network_element,Cairo_EPM_Stg_DB_Server,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,AD1,
network_element,AD2,
network_element,dns1,
network_element,dns2,
network_element,AD1,
network_element,AD2,
network_element,dns1,
network_element,dns2,
network_element,Kubernetes_Master 1  ,
network_element,Kubernetes_Master 2,
network_element,Kubernetes_Master 3,
network_element,AIC-CAI-IT,
network_element,Cairo_EPM_Prd_DB,
network_element,Cairo_EPM_Prd_Web,
network_element,Cairo_EPM_Stg_DB,
network_element,Cairo_EPM_Stg_Web,
network_element,network-10.53.123.0/24,
network_element,network-10.53.135.0/24,
network_element,10.210.225.0/255.255.255.0,
network_element,10.210.227.0/255.255.255.0,
network_element,Kaspersky-server,
network_element,AI-lab,
network_element,Cairo_R&D_Team_126-,
network_element,network-10.53.125.0/24,
network_element,users,
network_element,wireless_subnet,
network_element,Kaspersky-server,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,Cairo_EPM_Prd_DB,
network_element,Cairo_EPM_Prd_Web,
network_element,Cairo_EPM_Stg_DB,
network_element,Cairo_EPM_Stg_Web,
network_element,Cairo_Office365_VM_123,
network_element,network-10.53.105.0/24,
network_element,network-10.53.106.0/24,
network_element,network-10.53.135.0/24,
network_element,network-10.53.150.0/24,
network_element,LogRhythm_DP,
network_element,AIC-CAI-IT,
network_element,AI_Cluster-Master-New,
network_element,AIC-Context-New,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
