match_sources.match_source_ref.type,match_sources.match_source_ref.value,match_destinations.match_destination_ref.type,match_destinations.match_destination_ref.value,match_services.match_service_ref.type,match_services.match_service_ref.value,match_services.match_service_ref.ref_key,user_match.user.class_id,user_match.user.display_name,user_match.user.domain,user_match.user.ref,user_match.auth_service.ref,user_match.auth_service.ref_key,match_sources.match_source_ref.ref_key
network_element,10.53.130.0/24,network_element | network_element,network-10.53.127.0/24 | network-10.53.128.0/24,service | service | service,tcp_service_22 | tcp_service_443 | tcp_service_80,,,,,,,,
network_element,10.53.130.0/24,network_element,network-10.53.140.0/24,service | service | service | service | service | service | service | service,3000 | 8000tcp | 8080 | 8081 | RDP | tcp_service_22 | tcp_service_443 | tcp_service_80,172,,,,,,,
network_element | network_element,dns1 | dns2,network_element | network_element,AIC_Cluster1_server | host-10.53.127.11,service | service | service | service,tcp_service_123 | tcp_service_53 | udp_service_123 | udp_service_53,,,,,,,,
network_element | network_element,AD1 | AD2,network_element | network_element,AIC_Cluster1_server | host-10.53.127.11,service | service | service | service,tcp_service_123 | tcp_service_53 | udp_service_123 | udp_service_53,,,,,,,,
network_element | network_element,AD1 | AD2,network_element,hpc cluster 2 login node,service | service,tcp_service_53 | udp_service_53,,,,,,,,
network_element,network-10.53.140.0/24,network_element | network_element,dns1 | dns2,service | service | service | service,tcp_service_123 | tcp_service_53 | udp_service_123 | udp_service_53,,,,,,,,
network_element,10.53.222.0/24,network_element,network-10.53.127.0/24,service | service,8001-8009 | 8001-8009udp,,,,,,,,
network_element, Internal Reverse Proxy(Engine x),network_element | network_element,AIC_Cluster1_server | host-10.53.127.11,service,tcp_service_22,,,,,,,,
network_element, Internal Reverse Proxy(Engine x),network_element | network_element,host-10.53.128.20 | hpc cluster 2 login node,service | service,Ping | tcp_service_22,453,,,,,,,
network_element,Alexandria_R&D_Team_126   ,network_element | network_element,AIC_Cluster1_server | host-10.53.127.11,service,tcp_service_22,,,,,,,,
network_element | network_element | network_element | network_element,AIC_Cluster1_server | AIC_Cluster1_Server2 | host-10.53.127.11 | hpc cluster 2 login node,network_element,ANY,service | service | service | service,tcp_service_443 | tcp_service_53 | tcp_service_80 | udp_service_53,,,,,,,,
network_element,network-10.53.140.0/24,network_element,ANY,service | service,tcp_service_443 | tcp_service_80,,,,,,,,
network_element,10.53.130.0/24,network_element,10.53.106.245,service | service | service | service | service | service | service,8080 | 8081 | ICMP | Remote Desktop | tcp_service_22 | tcp_service_443 | tcp_service_80,121 | 281,,,,,,,
network_element,AIC Operations,network_element | network_element | network_element | network_element | network_element,10.53.106.239 | 10.53.106.244 | 10.53.106.248 | host-10.53.106.228 | IT Assets Inventory,service | service,tcp_service_443 | tcp_service_80,,,,,,,,
network_element,AI_Wireless,network_element | network_element | network_element | network_element | network_element,10.53.106.239 | 10.53.106.244 | 10.53.106.248 | host-10.53.106.228 | IT Assets Inventory,service | service,tcp_service_443 | tcp_service_80,,,,,,,,
network_element | network_element,10.54.200.0/24 | AIC Operations,network_element,smtp.office365.com,service | service,587 | SMTP Submission Service,12005,,,,,,,
network_element,AIC_Subnet,network_element,Root WAF Network,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element,Root WAF Network,network_element | network_element | network_element,AIC RProxy Network | host-10.53.116.80 | host-10.53.118.60,service,ANY,,,,,,,,
network_element | network_element | network_element,10.53.120.0/24 | network-10.53.127.0/24 | network-10.53.128.0/24,network_element | network_element,10.53.222.2 | 10.53.222.22,service | service | service,SSH | ssh | tcp_service_22,380,,,,,,,
