match_source_ref.type,match_source_ref.value,match_source_ref.ref_key
network_element,AIC-Pool,
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,Cairo_EPM_Prd_DB | Cairo_EPM_Prd_Web | Cairo_EPM_Stg_DB | Cairo_EPM_Stg_Web | Cairo_Office365_VM_123 | network-10.53.105.0/24 | network-10.53.106.0/24 | network-10.53.135.0/24 | network-10.53.150.0/24,
network_element,LogRhythm_DP,
network_element,AIC-CAI-IT,
network_element | network_element,AI_Cluster-Master-New | AIC-Context-New,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | 10.58.130.0 | AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | 10.58.130.0 | AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,network-10.53.127.0/24,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element | network_element,pulse secure2 | pulsesecure1,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-HPC-RANGE,
network_element,AIC-HPC-RANGE,
network_element,Egypt,357994
network_element,AIC-DEV-RANGE,
network_element,AIC-DEV-RANGE,
network_element | network_element | network_element,AIC-DEV-RANGE | AIC-HPC-RANGE | AIC-IT-RANGE,
network_element,AIC-DEV-RANGE,
network_element | network_element | network_element | network_element,AIC-DEV-RANGE | AIC-HPC-RANGE | AIC-IT-RANGE | hpc-nonmcit,
network_element,AIC-IT-RANGE,
network_element | network_element,AIC-HPC-RANGE | AIC-IT-RANGE,
network_element,AIC-HPC-RANGE,
network_element,10.53.105.252,
network_element,AIC-HPC-RANGE,
network_element,AIC-HPC-RANGE,
network_element,network-10.53.127.0/24,
network_element,AIC-HPC-RANGE,
network_element,AIC-HPC-RANGE,
network_element,AIC-HPC-RANGE,
network_element,AIC-DEV-RANGE,
network_element,pool_Ai_VPN,
network_element | network_element | network_element,AIC-DEV-RANGE | AIC-Pool | hpc-nonmcit,
network_element,hpc-nonmcit,
network_element,AIC Operations,
network_element,Cairo_HPC_Team_130,
network_element | network_element,network-10.53.107.0/24 | network-10.53.118.0/24,
network_element,AIC_Subnet,
network_element | network_element,network-10.53.107.0/24 | network-10.53.118.0/24,
network_element | network_element | network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM | host-10.53.106.234 | host-10.53.106.235,
network_element | network_element | network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM | host-10.53.106.234 | host-10.53.106.235,
network_element | network_element,10.53.130.0/24 | network-10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element,private-10.0.0.0/8,106
network_element | network_element | network_element,MCIT-Proxy | Proxy-MG | VFX-AIC,
network_element | network_element | network_element,172.26.12.163 | 172.26.12.164 | PRA IN 1 ,
network_element,ZTNA-AIC-INT,
network_element | network_element | network_element | network_element,10.53.104.60-10.53.104.69 | 10.53.135.243 | 10.53.135.244 | 10.53.135.60-10.53.135.69,
network_element | network_element,10.53.105.252 | NGINX-Reverse-Proxy-VM 1,
